y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
9.565051,0.3232827,0.915881,-0.07875031,-0.56465197,-1.2826766,1.8646152,-0.8791228,-0.5452084,0.3291864,0.3201429,0.9027978,0.12534311,-0.225466,-0.22005746,0.26057225,0.60599524,-1.6828496,-1.4143108,0.26194903,-0.35178924,1.9576619,-1.0770012,-0.23421448,0.32770458,0.8311832,0.37327534,-1.1230122,-1.2228739,-2.2084298,0.062949255,1.4041244,0.09302511,0.23220624,-0.7790509,-0.05895482,-0.3098704,-1.3040625,-0.3051726,0.9142142,0.576546,0.23836824,-0.50311846,0.213296,-1.1183822,-0.28826094,-1.2583945,-0.27490425,-1.243797,-0.66865116,0.055415154,1.305354,-1.0581235,0.0835379,0.18814705,0.2917642,-1.2117052,1.2486334,-0.49565947,-1.0032821,-1.0519462,-0.79356354,1.3932104,0.522366,-0.8744571,-0.25074735,0.19011414,-2.4412308,0.97690827,-0.5147593,-1.0053563,0.77287656,0.11624892,-0.1989151,-0.82687193,0.12503327,-0.84958404,-0.3693913,-0.6255187,2.4196153,-0.5994684,0.20251986,0.96176887,0.34892502,-1.3058813,0.035444338,-1.4457601,0.5875397,0.46998915,0.2917266,-1.1682318,0.24573761,-0.030239623,3.0739264,-1.110416,-1.0387009,-2.1557946,0.059527855,0.050888028,1.7975122,-1.7414473
-2.466167,-0.19853292,-1.566033,1.2386447,0.56991833,-0.5000827,0.15663217,-1.8109313,0.51725763,-0.5522139,1.3760142,1.4454571,-1.2846518,0.92651147,-0.040765453,-0.032869995,-0.3663803,0.8629449,-0.22579071,-1.1617097,-1.1988391,-0.076563686,-0.29897043,0.06406631,0.1277226,0.6136293,1.8459084,0.42959172,0.6462854,0.4364048,0.7944293,0.42698345,-0.06666209,0.61798364,0.49846888,0.112413384,1.2904915,-0.8537574,0.30265477,-0.055950947,0.69270474,0.45144433,1.6489241,-1.13454,-0.32307044,0.077661805,0.17363787,0.79483557,-0.16453739,0.66725874,0.13799271,1.0362812,-1.4838376,-0.45454577,0.38267154,-0.04836615,1.123689,-0.29305944,-0.36421356,1.4535701,-1.248848,-1.2435267,0.16642554,0.6829111,2.6218863,0.017203223,0.25919834,1.5736809,-0.0677561,-0.62736434,-0.2484676,0.95391357,-0.113836795,-1.8304024,0.72906405,0.13570121,1.1319991,1.0775307,1.8274199,-0.21850368,-2.2741997,0.43921033,0.3417529,0.9766707,-1.7512285,-0.5702314,1.2279613,-1.0656717,0.22490545,-1.46665,0.6662279,1.3457432,-1.5085406,-0.07137027,0.8507618,0.1324609,-0.68184316,0.7158638,-0.13336337,-0.22948544,0.6165235
2.7369404,-0.55346054,-0.1704009,1.8524524,-0.5427227,-0.38378692,-0.04651253,-0.28436473,0.67951417,-0.26263073,0.49762765,-1.0680989,1.7506514,-0.6421639,0.5541581,-0.7377127,-3.0872924,-1.6954638,1.6769968,0.5830219,-0.7641405,0.6125211,-0.50320464,0.40157923,-0.8674364,-1.6710265,0.02370889,0.5544319,1.5715127,-1.0729562,-0.19007136,0.6609937,0.88039464,2.724592,0.44756272,-0.02281984,1.1401218,-0.49216062,-0.6536965,-0.026799265,-0.2573425,-0.039385956,0.53151107,1.2853673,0.6250876,-0.7531183,-0.22525723,1.7513083,1.0160207,-1.2630242,0.35063756,-0.17977488,2.270464,-1.9654471,-0.46629405,-0.2776527,0.31707624,-0.18555771,0.20861831,0.65556556,-0.44506076,-0.30318952,-1.0172471,0.4644611,-0.38974938,1.0307593,-0.7480421,0.8131773,-1.0810448,0.13539799,0.10489162,-1.2312741,0.49992847,1.0234282,-0.57141507,-0.56888175,-1.1074582,-1.3845886,-0.42744294,-0.62511367,0.7774465,1.06174,-0.8702849,-0.034866054,-0.055089068,-0.67228633,-0.14107972,0.21112478,-0.6488751,-0.05618241,-0.45743415,0.49706757,2.072743,1.6392554,-0.12102215,0.38680115,-1.4893131,-2.9822788,-0.991342,1.6101166,0.6651991
-7.3039827,0.80195343,-0.7147868,0.4689466,-0.41669175,0.017094461,0.93567,1.6214837,-1.2230816,0.6915285,0.6443753,0.43748924,1.7453625,-1.9366105,0.80898345,0.0957182,-1.0219183,-0.18650818,-0.36235026,1.3226508,2.3099327,1.2881129,-0.39169785,0.19551876,1.4418513,1.2621815,-0.99583703,0.7659443,0.4932716,-0.4697421,0.38541523,-0.83980757,-0.078485236,0.6717787,1.0365373,0.95749396,-0.11035033,-0.6749785,0.7330415,0.043583557,-0.95861405,0.26337886,0.11423066,-0.6771551,2.2739742,-0.31141862,1.117263,-0.81344503,-0.22392774,0.064099625,-0.41676018,-0.13962515,0.5728654,-0.0038459974,-1.2937679,0.010729998,-0.54723185,-1.1938967,-0.9217215,-0.47634414,0.67735124,0.29165313,0.6420231,-0.5712992,-0.66731507,0.19560619,-0.9008008,1.7226051,0.84034806,-0.63997656,-0.019569518,0.8284997,-0.2866323,-0.55846196,-0.40997022,-1.4330778,1.6440026,1.234,0.317308,1.3325793,0.59950745,0.8977383,1.0707173,-2.0557947,-0.94739884,-0.7037107,-1.5259155,0.05082848,-0.16414526,-0.5238045,-0.60107285,-1.5696841,1.4042412,-1.0015779,1.9530014,0.38489488,-1.1036954,-0.89858836,0.08373437,-1.8634316,-0.08589265
1.8147391,-0.1332056,-0.62399375,-0.8911996,-1.1330495,1.7295033,-1.0816592,-0.7149442,0.20734946,0.44488987,-0.07850453,0.100250036,-0.7012975,1.0320477,-0.0711095,-0.027082767,0.12522776,0.33453438,0.03218003,-1.0342107,-0.21712232,-1.2478746,1.2090844,0.48374224,0.77373695,-0.736795,-0.82314944,-0.6821582,-0.41421455,-0.34374645,0.38983306,0.26761642,0.66426057,0.8584709,-2.1890454,2.9466758,0.23126674,0.21970679,1.6900315,-0.030478107,-0.08261111,0.07310246,-1.1221597,-1.6265885,0.6543804,0.107496604,-1.2724628,-0.35347033,-0.8636025,-0.10064421,0.9046144,0.39401028,0.710871,-0.5514871,1.804542,0.84590274,-0.98987556,1.6182067,-0.90188885,-0.91686344,-0.47971815,-2.6129553,1.1585068,-2.3033395,1.2068901,-0.05085009,-0.1190346,0.5172419,0.500026,-0.75484216,0.69394493,-0.8706485,-0.6067723,0.59828323,0.23588972,-0.19362564,-0.8978753,-0.12072234,-0.6231816,0.8948715,-0.24308464,0.796454,0.21968669,-0.6970402,0.0746338,0.6718455,-1.8822743,-1.4501133,-0.08436406,1.4045743,-0.4855594,-1.0162407,-1.1395704,-1.1015636,0.7639402,0.062028836,0.32575062,-0.87381476,-0.515332,0.93310344,0.72216964
5.265185,1.3769975,0.8815188,1.5395418,0.43510172,-0.9807928,-1.148207,1.0115519,-0.14054915,-1.1334645,-1.2778369,-1.0808989,-0.15760757,-0.4988424,0.72676545,1.2969781,0.88260126,-2.1132503,-0.69189197,0.9516443,-0.09378776,-1.3343396,-0.6006648,-0.41100824,-0.48312905,-2.0699134,-0.22446957,0.46114796,-0.6247242,0.14875826,1.0168463,1.375027,0.40694267,0.4624539,0.363522,-0.85911644,0.72010946,-1.0874039,1.0635722,0.014008679,0.43642196,-0.056735184,1.2770317,-0.9928077,0.5915188,0.2739279,1.4378803,-0.3222934,-0.7482289,1.4809248,0.21147901,-0.019916035,0.27530006,-1.4556683,-1.1555802,-0.342712,0.4966598,-0.09305512,-0.20508419,-0.9956719,0.011784535,-0.8295725,0.31512287,2.2803288,1.7062104,0.10180077,-0.45180723,-0.98746604,1.8537693,0.83011997,-0.83798206,-0.10983423,0.14269665,0.13694622,1.398812,0.31108528,-0.6205508,-0.5098264,-0.43920708,-0.8923446,0.4430981,0.4049036,-0.16721171,0.15659706,0.35673547,-0.14461397,1.0123923,-0.1123569,-0.9282332,-0.82744706,-0.1022301,-0.57746655,-1.1933764,-1.9232173,0.20742399,1.3774701,-1.8554083,-0.14501436,-1.0984613,1.3156179,-0.27093634
2.8125613,1.5889429,-0.12799762,-0.41340125,-1.3989317,0.46386516,-0.11500439,-0.16367026,-1.1530968,0.9779984,1.0184445,0.7144098,1.623872,-0.58949715,-0.33577174,-1.4114549,0.1940662,-0.30253792,0.7067569,1.5183028,-2.4945657,-1.1139463,0.35944587,1.5379832,0.59027416,-0.007183789,1.5437222,-0.70677185,1.2605954,-1.089789,-1.7947397,0.5690439,1.1197262,0.32325196,-0.22721134,2.0678654,0.15785192,1.3637353,0.4526282,0.5254687,1.6243056,1.4113107,0.106468216,-1.850378,-0.3009684,-1.0100993,-0.80365205,1.2372887,-0.4383041,1.3781676,1.0600766,0.392117,-1.8211508,0.48307246,0.46437398,0.11046937,0.69465274,2.0213337,-0.67199874,-1.8145565,0.75244474,-0.5244712,-0.8520487,1.4672618,0.5305374,1.1343656,0.36551997,0.011416555,-1.5018526,-1.3007882,-0.68630445,-1.0698951,-0.7143764,0.48131323,0.00891895,1.989456,1.024161,-1.2238955,0.5914801,1.9506654,-0.9742672,0.8260207,-1.0134541,-0.5612421,-0.5448414,-1.4453405,0.60511595,1.3015416,0.4336642,0.11909317,-1.6933765,-1.0127445,0.33767667,0.6438537,-0.46335503,-1.8611213,-0.3529956,-0.2593834,-0.6311379,-0.032402046,-0.018486347
1.7463548,-1.1204503,-2.361748,0.6020701,0.18480866,-0.6119993,-1.3587383,1.9703429,-0.92765564,0.6006213,-0.5030332,-0.12446006,-1.1637217,-0.67256624,0.4103945,0.96159524,-1.1915303,0.10204918,-1.7348155,0.5839539,1.6469599,1.0738921,-1.1556761,-0.14363879,-0.09737218,-0.50401586,0.35230738,-0.69252723,0.75520974,0.31238177,-0.73612016,-1.2797146,1.3306339,-1.4768708,-0.8546288,1.2660391,-0.9116788,-0.24066062,1.0236484,-0.6622834,0.91818833,-1.4927573,-1.1050438,-0.005264029,-1.6004239,-1.1541512,1.2176305,-0.5306428,0.3318666,-0.44317594,1.3883731,1.0951976,0.046595637,-0.6644298,0.5729813,0.053350404,1.2865912,-1.0325071,0.6567137,1.2427397,-0.15953669,-0.26886073,0.5825634,2.2479885,-0.12176427,-0.9868317,0.19082572,-0.5159766,1.1848967,-0.97776854,-0.5748416,0.30123678,-0.51467514,0.33999142,1.140154,-1.136704,0.4119924,-0.6074974,1.120584,-0.19882557,-0.15278576,-0.28420642,1.0383497,1.537895,1.3660023,0.39741996,-0.19281965,-1.0953265,0.52996504,0.60117096,0.8710659,-0.568488,-0.9521119,0.93139213,0.49553066,-0.9478978,-1.4000473,1.587538,-1.233342,0.018335074,-0.37108946
1.9010048,-0.044100493,-0.07362392,0.60852665,-1.0117713,-2.020803,-1.019061,-0.5018281,-0.3942096,-0.6278947,0.37414643,-0.8945486,0.48860833,2.0423598,1.239566,-0.078252286,0.94048893,0.9060797,0.045022305,-1.2216256,0.5899588,-0.03577757,0.6894616,-0.5752281,-0.021293988,-1.350317,0.10950084,0.42805892,0.34097666,0.5767408,-0.14550336,-0.38031334,0.324316,0.46036753,1.1558229,0.38071772,-0.68832284,0.29177383,0.22191264,0.2472777,-0.5476922,-1.6416129,1.1850525,-0.34862736,-0.06142866,-0.917484,0.60589087,-0.85427195,-0.14111081,1.3636771,-0.85779727,0.60056293,1.9839528,0.3493523,0.13028073,2.2623336,0.46449366,-0.37689126,0.6986231,1.5211788,1.4103116,-0.14972661,-1.4903929,-0.5850664,-0.43784738,1.572317,2.6889622,-1.0623437,0.50837445,-0.89394706,-0.5197731,-0.8288732,-0.3180672,0.967177,-0.44798917,1.8710501,-0.63484275,-0.27789128,-1.965466,0.7279192,-0.70768005,0.19605039,0.5799483,-0.09004477,-0.8362204,1.5935292,-0.69672203,2.113191,0.8625563,0.13363326,1.7771138,-0.36404544,0.8312826,1.1199702,-0.72935694,-0.0033151398,0.37904373,0.6298111,-0.40663472,-0.673561,-1.0807012
-0.20890838,-1.4479493,-1.0853664,-0.50757724,-0.39457476,-1.0874342,-0.4521159,-0.14813922,-0.97332007,0.7103868,-1.1525203,-0.22302155,-0.84362006,0.93319696,-0.48564577,0.6627098,-0.55539817,-1.8454629,1.0080965,-0.80821115,-0.16755626,-0.18594804,-0.5814484,0.32730982,-1.1936507,1.03926,1.4654115,-0.7163933,-0.40422267,-1.5252193,-0.47542575,0.26936516,-0.9494683,0.26956645,0.86865956,0.3638694,1.3860463,0.386511,-0.29678804,-1.1724404,-0.054171834,0.32669055,0.6780838,-0.89671105,1.6212171,-1.1291989,-0.39331385,-0.47982213,-0.7378906,0.16537027,1.7881887,-0.42502165,-1.1588125,-0.21872933,-0.009541054,-0.03042818,0.21712467,0.9966907,-1.0484303,-1.7558656,0.05599447,-0.23857886,0.82789767,0.67806005,-0.24317446,2.4471703,-0.25538933,-1.465679,1.47068,-0.5200306,1.122028,0.17524979,-0.046087775,-1.6384891,-0.8294933,1.1564348,-0.3096335,1.3286122,-0.8774325,-1.3481655,-0.045543946,1.4259326,-0.13244979,-1.262596,0.16270186,-0.30796313,-2.0421271,-2.4046998,-0.13576354,1.3378845,0.3890659,0.61606777,-1.8616896,0.86010313,-1.2181251,-1.0449504,0.5085317,0.7267165,0.7759266,-0.1849151,0.6493316
