setting,sim_name,seed,n,p,n_active,n_active_target,sigma2,sigma,beta_low,beta_high,data_path,beta_path,out_dir,last_out_dir,active_idx,active_idx0,beta_value,signal_var,outcome_var,snr_actual
simple,simple,400,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_400.csv,data/n160p100/n160p100_input/simple/beta_true/seed_400_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_400,data/n160p100/n160p100_last_output/simple/seed_400,13;19;26;32;39;50;53;82;90;98,12;18;25;31;38;49;52;81;89;97,-0.055573951452970505,20.421695709228516,20.698789596557617,20.421695709228516
simple,simple,401,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_401.csv,data/n160p100/n160p100_input/simple/beta_true/seed_401_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_401,data/n160p100/n160p100_last_output/simple/seed_401,5;11;26;30;34;41;44;45;62;69,4;10;25;29;33;40;43;44;61;68,-0.3858080506324768,11.140070915222168,12.831871032714844,11.140070915222168
simple,simple,402,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_402.csv,data/n160p100/n160p100_input/simple/beta_true/seed_402_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_402,data/n160p100/n160p100_last_output/simple/seed_402,1;3;4;40;50;58;71;73;82;85,0;2;3;39;49;57;70;72;81;84,0.2019747495651245,14.828916549682617,16.055824279785156,14.828916549682617
simple,simple,403,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_403.csv,data/n160p100/n160p100_input/simple/beta_true/seed_403_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_403,data/n160p100/n160p100_last_output/simple/seed_403,2;8;20;26;32;37;82;83;87;95,1;7;19;25;31;36;81;82;86;94,0.2431187629699707,17.669498443603516,17.944082260131836,17.669498443603516
simple,simple,404,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_404.csv,data/n160p100/n160p100_input/simple/beta_true/seed_404_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_404,data/n160p100/n160p100_last_output/simple/seed_404,2;33;52;53;54;62;74;81;92;97,1;32;51;52;53;61;73;80;91;96,-0.06444309651851654,21.445446014404297,22.524560928344727,21.445446014404297
simple,simple,405,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_405.csv,data/n160p100/n160p100_input/simple/beta_true/seed_405_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_405,data/n160p100/n160p100_last_output/simple/seed_405,13;36;50;51;66;68;71;83;92;99,12;35;49;50;65;67;70;82;91;98,-0.6176289916038513,16.331981658935547,18.843122482299805,16.331981658935547
simple,simple,406,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_406.csv,data/n160p100/n160p100_input/simple/beta_true/seed_406_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_406,data/n160p100/n160p100_last_output/simple/seed_406,4;19;48;53;60;62;69;89;93;94,3;18;47;52;59;61;68;88;92;93,0.5403906106948853,12.327707290649414,12.960392951965332,12.327707290649414
simple,simple,407,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_407.csv,data/n160p100/n160p100_input/simple/beta_true/seed_407_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_407,data/n160p100/n160p100_last_output/simple/seed_407,16;18;38;46;53;67;78;89;95;96,15;17;37;45;52;66;77;88;94;95,-0.07188200950622559,11.251901626586914,12.274011611938477,11.251901626586914
simple,simple,408,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_408.csv,data/n160p100/n160p100_input/simple/beta_true/seed_408_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_408,data/n160p100/n160p100_last_output/simple/seed_408,4;5;18;42;56;57;59;65;66;99,3;4;17;41;55;56;58;64;65;98,-1.041197657585144,26.216333389282227,25.502216339111328,26.216333389282227
simple,simple,409,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_409.csv,data/n160p100/n160p100_input/simple/beta_true/seed_409_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_409,data/n160p100/n160p100_last_output/simple/seed_409,23;35;54;57;66;76;83;88;92;95,22;34;53;56;65;75;82;87;91;94,-0.2250995635986328,23.176433563232422,25.359355926513672,23.176433563232422
simple,simple,410,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_410.csv,data/n160p100/n160p100_input/simple/beta_true/seed_410_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_410,data/n160p100/n160p100_last_output/simple/seed_410,35;59;63;71;77;78;81;87;92;97,34;58;62;70;76;77;80;86;91;96,-0.4063265323638916,13.0155029296875,13.536901473999023,13.0155029296875
simple,simple,411,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_411.csv,data/n160p100/n160p100_input/simple/beta_true/seed_411_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_411,data/n160p100/n160p100_last_output/simple/seed_411,16;27;31;36;41;46;52;59;63;78,15;26;30;35;40;45;51;58;62;77,0.8143587112426758,24.780147552490234,25.44331169128418,24.780147552490234
simple,simple,412,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_412.csv,data/n160p100/n160p100_input/simple/beta_true/seed_412_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_412,data/n160p100/n160p100_last_output/simple/seed_412,2;21;25;35;48;49;57;67;74;83,1;20;24;34;47;48;56;66;73;82,0.07721471786499023,18.81463050842285,20.030696868896484,18.81463050842285
simple,simple,413,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_413.csv,data/n160p100/n160p100_input/simple/beta_true/seed_413_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_413,data/n160p100/n160p100_last_output/simple/seed_413,2;25;35;62;63;74;79;82;89;99,1;24;34;61;62;73;78;81;88;98,0.4616641104221344,9.89427375793457,9.864622116088867,9.89427375793457
simple,simple,414,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_414.csv,data/n160p100/n160p100_input/simple/beta_true/seed_414_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_414,data/n160p100/n160p100_last_output/simple/seed_414,5;9;18;25;31;39;65;66;79;83,4;8;17;24;30;38;64;65;78;82,-0.4486538767814636,21.578529357910156,23.433645248413086,21.578529357910156
simple,simple,415,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_415.csv,data/n160p100/n160p100_input/simple/beta_true/seed_415_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_415,data/n160p100/n160p100_last_output/simple/seed_415,6;9;10;17;18;26;33;35;39;81,5;8;9;16;17;25;32;34;38;80,0.5856276750564575,9.296879768371582,11.131800651550293,9.296879768371582
simple,simple,416,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_416.csv,data/n160p100/n160p100_input/simple/beta_true/seed_416_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_416,data/n160p100/n160p100_last_output/simple/seed_416,5;22;38;60;68;72;73;80;82;95,4;21;37;59;67;71;72;79;81;94,0.5708974003791809,13.7944974899292,15.352717399597168,13.7944974899292
simple,simple,417,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_417.csv,data/n160p100/n160p100_input/simple/beta_true/seed_417_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_417,data/n160p100/n160p100_last_output/simple/seed_417,25;31;34;36;42;69;75;80;91;99,24;30;33;35;41;68;74;79;90;98,-0.43104633688926697,12.274328231811523,12.98523235321045,12.274328231811523
simple,simple,418,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_418.csv,data/n160p100/n160p100_input/simple/beta_true/seed_418_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_418,data/n160p100/n160p100_last_output/simple/seed_418,13;15;16;19;23;49;56;64;77;79,12;14;15;18;22;48;55;63;76;78,0.40690240263938904,14.582254409790039,16.38555335998535,14.582254409790039
simple,simple,419,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_419.csv,data/n160p100/n160p100_input/simple/beta_true/seed_419_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_419,data/n160p100/n160p100_last_output/simple/seed_419,5;11;42;65;68;80;81;87;96;97,4;10;41;64;67;79;80;86;95;96,-0.12521187961101532,14.9514799118042,15.917864799499512,14.9514799118042
simple,simple,420,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_420.csv,data/n160p100/n160p100_input/simple/beta_true/seed_420_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_420,data/n160p100/n160p100_last_output/simple/seed_420,8;15;24;31;40;45;46;65;77;80,7;14;23;30;39;44;45;64;76;79,-0.39202558994293213,18.10564613342285,19.684680938720703,18.10564613342285
simple,simple,421,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_421.csv,data/n160p100/n160p100_input/simple/beta_true/seed_421_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_421,data/n160p100/n160p100_last_output/simple/seed_421,5;20;43;49;57;71;84;90;97;98,4;19;42;48;56;70;83;89;96;97,-0.4319137930870056,13.300573348999023,14.608813285827637,13.300573348999023
simple,simple,422,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_422.csv,data/n160p100/n160p100_input/simple/beta_true/seed_422_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_422,data/n160p100/n160p100_last_output/simple/seed_422,2;20;22;29;53;61;64;77;90;100,1;19;21;28;52;60;63;76;89;99,0.41754746437072754,20.641979217529297,20.960636138916016,20.641979217529297
simple,simple,423,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_423.csv,data/n160p100/n160p100_input/simple/beta_true/seed_423_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_423,data/n160p100/n160p100_last_output/simple/seed_423,8;14;30;31;32;50;61;64;74;76,7;13;29;30;31;49;60;63;73;75,0.27395135164260864,21.236522674560547,22.6825008392334,21.236522674560547
simple,simple,424,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_424.csv,data/n160p100/n160p100_input/simple/beta_true/seed_424_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_424,data/n160p100/n160p100_last_output/simple/seed_424,7;24;26;32;41;44;48;71;83;97,6;23;25;31;40;43;47;70;82;96,0.4318251609802246,18.631059646606445,20.505783081054688,18.631059646606445
simple,simple,425,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_425.csv,data/n160p100/n160p100_input/simple/beta_true/seed_425_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_425,data/n160p100/n160p100_last_output/simple/seed_425,7;12;30;31;53;56;69;73;88;97,6;11;29;30;52;55;68;72;87;96,-0.3869953453540802,12.700695991516113,13.447677612304688,12.700695991516113
simple,simple,426,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_426.csv,data/n160p100/n160p100_input/simple/beta_true/seed_426_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_426,data/n160p100/n160p100_last_output/simple/seed_426,8;18;26;27;31;68;69;71;82;89,7;17;25;26;30;67;68;70;81;88,0.03014317713677883,18.5333309173584,19.950363159179688,18.5333309173584
simple,simple,427,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_427.csv,data/n160p100/n160p100_input/simple/beta_true/seed_427_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_427,data/n160p100/n160p100_last_output/simple/seed_427,10;16;26;29;33;54;60;66;82;93,9;15;25;28;32;53;59;65;81;92,-0.3770994246006012,13.762660026550293,14.873590469360352,13.762660026550293
simple,simple,428,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_428.csv,data/n160p100/n160p100_input/simple/beta_true/seed_428_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_428,data/n160p100/n160p100_last_output/simple/seed_428,4;13;28;41;56;64;67;83;85;90,3;12;27;40;55;63;66;82;84;89,-0.4459047317504883,18.904743194580078,19.630184173583984,18.904743194580078
simple,simple,429,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_429.csv,data/n160p100/n160p100_input/simple/beta_true/seed_429_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_429,data/n160p100/n160p100_last_output/simple/seed_429,6;13;30;31;37;41;50;55;61;94,5;12;29;30;36;40;49;54;60;93,1.1092933416366577,15.24280071258545,16.23374366760254,15.24280071258545
simple,simple,430,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_430.csv,data/n160p100/n160p100_input/simple/beta_true/seed_430_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_430,data/n160p100/n160p100_last_output/simple/seed_430,3;32;35;37;48;53;65;74;79;86,2;31;34;36;47;52;64;73;78;85,0.39115849137306213,15.07677173614502,15.728922843933105,15.07677173614502
simple,simple,431,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_431.csv,data/n160p100/n160p100_input/simple/beta_true/seed_431_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_431,data/n160p100/n160p100_last_output/simple/seed_431,2;9;22;42;53;57;71;73;79;86,1;8;21;41;52;56;70;72;78;85,0.34913119673728943,17.83243751525879,18.533945083618164,17.83243751525879
simple,simple,432,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_432.csv,data/n160p100/n160p100_input/simple/beta_true/seed_432_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_432,data/n160p100/n160p100_last_output/simple/seed_432,1;23;34;35;37;44;60;90;92;97,0;22;33;34;36;43;59;89;91;96,-0.7957674264907837,21.222423553466797,22.156728744506836,21.222423553466797
simple,simple,433,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_433.csv,data/n160p100/n160p100_input/simple/beta_true/seed_433_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_433,data/n160p100/n160p100_last_output/simple/seed_433,31;36;39;52;59;61;75;82;85;87,30;35;38;51;58;60;74;81;84;86,0.3801997900009155,12.126916885375977,12.955757141113281,12.126916885375977
simple,simple,434,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_434.csv,data/n160p100/n160p100_input/simple/beta_true/seed_434_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_434,data/n160p100/n160p100_last_output/simple/seed_434,9;13;18;40;48;60;67;75;91;99,8;12;17;39;47;59;66;74;90;98,-0.8038633465766907,18.819602966308594,19.47675132751465,18.819602966308594
simple,simple,435,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_435.csv,data/n160p100/n160p100_input/simple/beta_true/seed_435_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_435,data/n160p100/n160p100_last_output/simple/seed_435,27;34;47;58;59;71;80;84;98;100,26;33;46;57;58;70;79;83;97;99,0.07116402685642242,18.43486976623535,19.541748046875,18.43486976623535
simple,simple,436,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_436.csv,data/n160p100/n160p100_input/simple/beta_true/seed_436_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_436,data/n160p100/n160p100_last_output/simple/seed_436,1;21;27;47;59;71;76;84;92;93,0;20;26;46;58;70;75;83;91;92,-0.6153989434242249,18.723575592041016,18.903411865234375,18.723575592041016
simple,simple,437,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_437.csv,data/n160p100/n160p100_input/simple/beta_true/seed_437_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_437,data/n160p100/n160p100_last_output/simple/seed_437,8;16;23;29;48;57;60;69;92;95,7;15;22;28;47;56;59;68;91;94,-0.226266548037529,12.60955810546875,12.757908821105957,12.60955810546875
simple,simple,438,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_438.csv,data/n160p100/n160p100_input/simple/beta_true/seed_438_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_438,data/n160p100/n160p100_last_output/simple/seed_438,5;13;26;37;67;71;79;84;86;92,4;12;25;36;66;70;78;83;85;91,0.4717980921268463,16.48138999938965,16.52377700805664,16.48138999938965
simple,simple,439,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_439.csv,data/n160p100/n160p100_input/simple/beta_true/seed_439_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_439,data/n160p100/n160p100_last_output/simple/seed_439,16;27;33;39;40;56;62;74;85;100,15;26;32;38;39;55;61;73;84;99,-0.38033953309059143,11.382964134216309,11.846903800964355,11.382964134216309
simple,simple,440,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_440.csv,data/n160p100/n160p100_input/simple/beta_true/seed_440_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_440,data/n160p100/n160p100_last_output/simple/seed_440,5;17;32;34;59;60;62;68;81;91,4;16;31;33;58;59;61;67;80;90,-0.43634071946144104,11.357856750488281,11.859604835510254,11.357856750488281
simple,simple,441,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_441.csv,data/n160p100/n160p100_input/simple/beta_true/seed_441_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_441,data/n160p100/n160p100_last_output/simple/seed_441,28;31;36;41;45;49;50;77;85;96,27;30;35;40;44;48;49;76;84;95,-0.5728729367256165,14.266721725463867,15.211947441101074,14.266721725463867
simple,simple,442,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_442.csv,data/n160p100/n160p100_input/simple/beta_true/seed_442_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_442,data/n160p100/n160p100_last_output/simple/seed_442,14;20;27;32;42;69;80;83;86;99,13;19;26;31;41;68;79;82;85;98,-0.09250707924365997,18.571170806884766,19.576705932617188,18.571170806884766
simple,simple,443,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_443.csv,data/n160p100/n160p100_input/simple/beta_true/seed_443_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_443,data/n160p100/n160p100_last_output/simple/seed_443,8;9;17;18;19;36;66;72;78;83,7;8;16;17;18;35;65;71;77;82,-0.3950369358062744,10.08669662475586,10.817096710205078,10.08669662475586
simple,simple,444,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_444.csv,data/n160p100/n160p100_input/simple/beta_true/seed_444_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_444,data/n160p100/n160p100_last_output/simple/seed_444,10;28;35;36;38;67;68;73;74;85,9;27;34;35;37;66;67;72;73;84,-0.467134952545166,28.228687286376953,30.35262680053711,28.228687286376953
simple,simple,445,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_445.csv,data/n160p100/n160p100_input/simple/beta_true/seed_445_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_445,data/n160p100/n160p100_last_output/simple/seed_445,27;40;50;52;54;61;68;69;85;94,26;39;49;51;53;60;67;68;84;93,-1.0254758596420288,19.085397720336914,20.52423667907715,19.085397720336914
simple,simple,446,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_446.csv,data/n160p100/n160p100_input/simple/beta_true/seed_446_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_446,data/n160p100/n160p100_last_output/simple/seed_446,10;21;30;32;40;41;45;53;85;99,9;20;29;31;39;40;44;52;84;98,0.09331177175045013,16.004291534423828,16.889644622802734,16.004291534423828
simple,simple,447,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_447.csv,data/n160p100/n160p100_input/simple/beta_true/seed_447_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_447,data/n160p100/n160p100_last_output/simple/seed_447,12;19;47;48;59;60;65;77;89;98,11;18;46;47;58;59;64;76;88;97,0.27386727929115295,15.132591247558594,16.816299438476562,15.132591247558594
simple,simple,448,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_448.csv,data/n160p100/n160p100_input/simple/beta_true/seed_448_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_448,data/n160p100/n160p100_last_output/simple/seed_448,1;4;7;21;25;26;58;65;67;71,0;3;6;20;24;25;57;64;66;70,0.24606844782829285,15.020426750183105,16.22334861755371,15.020426750183105
simple,simple,449,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_449.csv,data/n160p100/n160p100_input/simple/beta_true/seed_449_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_449,data/n160p100/n160p100_last_output/simple/seed_449,4;11;14;32;41;48;69;70;75;80,3;10;13;31;40;47;68;69;74;79,-0.4220882058143616,12.23427677154541,12.810455322265625,12.23427677154541
simple,simple,450,160,100,10,10,1.0,1.0,0.3,2.0,data/n160p100/n160p100_input/simple/dataframe/seed_450.csv,data/n160p100/n160p100_input/simple/beta_true/seed_450_beta_true.csv,data/n160p100/n160p100_mcmc_output/simple/seed_450,data/n160p100/n160p100_last_output/simple/seed_450,17;24;26;35;40;44;54;61;80;87,16;23;25;34;39;43;53;60;79;86,-0.8088237643241882,15.598409652709961,16.168930053710938,15.598409652709961
